################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.1154878340226533E-01   7.7664532056229585E-01   4.8249475144844334E-01   5.7467898337401874E-02
         1          2   8.4653482644330091E-02   6.7169187334253000E-01   4.0211262889871641E-01   4.9306187223813212E-02
         1          3   5.5665793833839017E-02   5.4118037243970951E-01   3.0510149478092508E-01   3.9053895139007040E-02
         1          4   3.3415906571595839E-04   8.1732833105903360E-02   1.0945969453725429E-02   2.6408064889104827E-03
         1          5   1.3595096642293787E-05   3.0918849474469691E-02   1.4212185489973252E-03   6.6858640917971126E-04
         1          6   1.3741923705696416E-01   4.3525216583081755E-01   3.8067559429167153E-01   3.4699829039183151E-02
         1          7   1.3355524793830889E-06   1.5778958473800338E-02   3.3477060438286333E-04   2.8468767682261086E-04
         1          8   1.0848332514806658E-07   7.7658893193310700E-03   7.3428508407724153E-05   1.2520688635500105E-04
         1          9   7.2716435243196972E-02   2.5949175625591842E-01   1.9252564879478384E-01   1.6590782410021463E-02
         1         10   9.0368313164946545E-01   3.0887019308631234E+00   2.3567981064834944E+00   2.2019518121300083E-01
         1         11   6.4697181882542198E-01   2.3417692411789082E+00   1.7399541147099753E+00   1.6633915411156788E-01
         1         12   2.4309306813133369E+00   7.5481906045374663E+00   6.0374125030546599E+00   5.3714192007470096E-01
         1         13   1.8323531851765473E+00   5.7581131297744896E+00   4.5962206871788434E+00   4.1250022440665873E-01
         1         14   3.9010648791844693E-01   1.5750111715409196E+00   1.1086600645124876E+00   1.1175019939561452E-01
         1         15   9.5094658528021447E-01   2.9174256895087658E+00   2.3384313755166253E+00   2.1064732045892770E-01
         1         16   4.8899489691259811E-02   4.5681861476349050E-01   2.4295464140475095E-01   3.1084552198459608E-02
         1         17   5.4847281910755386E-01   1.7173978838626618E+00   1.3650627620939364E+00   1.2450194733444343E-01
         1         18   1.0510322611615956E+00   3.2058813769899519E+00   2.6007097761377924E+00   2.3110398654354139E-01
         1         19   1.3423567160030057E+00   4.5071041999147221E+00   3.5393289117912818E+00   3.3458972170949225E-01
         1         20   4.9421977383579661E+00   1.5101629455138996E+01   1.2101974688460489E+01   1.0475389883398314E+00
         1         21   3.3926385339479590E+00   1.0450694876479318E+01   8.3678863747604595E+00   7.3182866095514354E-01
         1         22   3.2191410145377772E+00   9.7179491273911687E+00   7.7910474252034660E+00   6.7853983491566416E-01
         1         23   1.8963587453739845E+00   5.7096028273986583E+00   4.5687110183344384E+00   3.9736120545974618E-01
         1         24   3.9437137937228606E+00   1.1867674553102031E+01   9.5389049258644310E+00   8.4783814761640641E-01
         1         25   2.9394475065032650E+00   9.0159443341668482E+00   7.2259327361820960E+00   6.4345986499150054E-01
         1         26   2.7515196283215531E+00   8.5934703556232339E+00   6.9136444520544575E+00   6.2234400713157234E-01
         1         27   2.9656795604505652E+00   8.8777413568966566E+00   7.1703149005706432E+00   6.5392210521543537E-01
         1         28   6.3449606727781504E-06   4.2652304534112504E-03   8.3865610139058648E-04   2.3325937334551437E-04
         1         29   1.8834036198651623E-05   1.1108274160034303E-02   2.4946306939694022E-03   6.8052884205848188E-04
         1         30   2.8401377913456573E-06   2.4208109459287197E-03   3.6703168106153934E-04   9.8845486002961962E-05
         1         31   8.5688143428247956E-03   1.4828675944371719E-01   6.7812190874370640E-02   1.3121547542091695E-02
         1         32   2.4989992635939928E-02   3.7522838097355427E-01   1.8829040871026212E-01   3.4212420695994290E-02
         1         33   3.9480228229579403E-04   2.4171897520284952E-02   8.2844656611635540E-03   1.9745366157409342E-03
         1         34   1.1341565616286511E-02   1.9649062570752152E-01   9.6295275346389958E-02   1.7526199812919148E-02
         1         35   1.2466533769730391E-02   2.1922134428366316E-01   1.0576050702545083E-01   1.9589792515467164E-02
         1         36   3.0107766818884556E-03   7.3577205762925854E-02   3.0307940513177072E-02   6.1630419892092277E-03
         1         37   9.8032260693454512E-02   1.0664848591256550E+00   6.1298256049623734E-01   1.0635811816870103E-01
         1         38   3.3725882081042591E-01   2.6421746603197023E+00   1.6302435945498568E+00   2.6332713983053641E-01
         1         39   2.6408827883233538E-01   2.0871294666694471E+00   1.2944740747387824E+00   2.0791816262209839E-01
         1         40   6.9543528124387200E-03   2.2211899719074071E-01   1.1326149504249625E-01   2.2178520399977683E-02
         1         41   1.7689379887483409E-01   1.4721791656863861E+00   9.0989965450922916E-01   1.4605092563230043E-01
         1         42   2.4891250508564827E-01   2.0662984700643028E+00   1.2504729159272330E+00   2.0398789582943569E-01
         1         43   1.2901597591796943E-01   1.1463308673377892E+00   6.9404428499655524E-01   1.1260826615696794E-01
         1         44   4.9632527295412773E-02   5.8952861477115093E-01   3.2042768087826906E-01   5.7038307021295899E-02
         1         45   3.3061116934784479E-03   1.1847458621196702E-01   5.5901907379724086E-02   1.1377294888848288E-02
         1         46   8.5333367674261376E-02   9.0391975427825877E-01   5.0552544655109355E-01   8.6101049943066749E-02
         1         47   4.2269078707917677E-02   4.9167357793413002E-01   2.7331767576334193E-01   4.6393669128066771E-02
         1         48   9.6338601397916827E-03   2.0271671991740919E-01   9.1982451981419799E-02   1.7612847873511400E-02
         1         49   4.4276444501319383E-03   1.0497905804100031E-01   4.6341301660327530E-02   8.8158840302280401E-03
         1         50   1.0329106563642674E-04   1.6066924048594944E-02   4.0598494640088946E-03   1.0074285086180681E-03
