################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.6828581567474611E-01 a         1     0     1     1     1
 -1.8052736936600566E-01 a         2     0     1     1     2
 -1.5764604589969836E-01 a         3     0     1     1     3
  5.2179801966138206E-01 a         4     0     1     1     4
 -9.4763174496267949E-02 a         5     0     1     1     5
 -6.3086027534239708E-01 a         6     0     1     1     6
  1.1778156164472701E-01 a         7     0     1     1     7
  4.1033925900868379E-01 a         8     0     1     1     8
 -4.4408374574364503E-03 a         9     0     1     1     9
 -5.1326826658399238E-01 a        10     0     1     1    10
  5.3413201670012123E-01 a        11     0     1     1    11
 -2.3644320173652741E-01 a        12     0     1     1    12
 -7.1227108636563108E-01 a        13     0     1     1    13
  4.0648608830005095E-01 a        14     0     1     1    14
  1.2084281999654114E+00 a        15     0     1     1    15
 -4.6750283212682364E-01 a        16     0     1     1    16
 -9.2491215419158154E-02 a        17     0     1     1    17
  4.7396825562367885E-02 a        18     0     1     1    18
 -1.8367228518089487E-01 a        19     0     1     1    19
 -4.1725974033612417E-02 a        20     0     1     1    20
 -8.9442507241969582E-01 a        21     0     1     1    21
 -5.7985889776144117E-01 a        22     0     1     1    22
 -3.9400735782919150E-01 a        23     0     1     1    23
 -1.0873689648139212E-01 a        24     0     1     1    24
 -3.4091815405946041E-01 a        25     0     1     1    25
  6.4444722563342693E-01 a        26     0     2     1     1
  3.2269223004479201E-02 a        27     0     2     1     2
  1.3238824264302224E-01 a        28     0     2     1     3
  8.3381227312382830E-02 a        29     0     2     1     4
  9.6002817638807497E-02 a        30     0     2     1     5
 -2.7702003927676438E-02 a        31     0     2     1     6
  1.7129895015679225E-01 a        32     0     2     1     7
 -6.2499423401533437E-02 a        33     0     2     1     8
  2.4636368521569738E-01 a        34     0     2     1     9
 -3.7719153491747082E-01 a        35     0     2     1    10
 -3.0840097466619171E-02 a        36     0     2     1    11
 -1.1164598073940660E-01 a        37     0     2     1    12
 -2.7904983736851269E-01 a        38     0     2     1    13
 -2.4648731960572573E-01 a        39     0     2     1    14
  7.1516279370732475E-02 a        40     0     2     1    15
 -8.5115459254576809E-02 a        41     0     2     1    16
  1.3305756592639562E-01 a        42     0     2     1    17
 -3.5210965130108095E-02 a        43     0     2     1    18
 -1.2662988683582102E-01 a        44     0     2     1    19
 -2.1185676664896771E-01 a        45     0     2     1    20
  5.4407267851526588E-02 a        46     0     2     1    21
 -2.2979820433398979E-01 a        47     0     2     1    22
 -1.8264563848455745E-01 a        48     0     2     1    23
 -9.3650152473474219E-02 a        49     0     2     1    24
 -1.1624039891510964E-01 a        50     0     2     1    25
  3.5115296620354797E-01 a        51     0     3     1     1
  3.1090414201591626E-01 a        52     0     3     1     2
 -5.0121796766110803E-02 a        53     0     3     1     3
 -7.3331022821466862E-01 a        54     0     3     1     4
 -2.3411407609274382E-01 a        55     0     3     1     5
  4.5171944828778615E-01 a        56     0     3     1     6
 -1.8188903730886816E-01 a        57     0     3     1     7
 -3.4267073283230637E-01 a        58     0     3     1     8
  2.4675314359611142E-01 a        59     0     3     1     9
  8.0401172662584897E-02 a        60     0     3     1    10
 -3.5987582825859864E-02 a        61     0     3     1    11
  3.7014433769090993E-01 a        62     0     3     1    12
  1.1592308331881368E-01 a        63     0     3     1    13
 -4.1950537730977810E-01 a        64     0     3     1    14
 -2.8843917056858870E-01 a        65     0     3     1    15
  3.1002456235936149E-01 a        66     0     3     1    16
  4.7040996264138590E-01 a        67     0     3     1    17
 -2.9567704007579906E-02 a        68     0     3     1    18
  1.2022236449425969E-01 a        69     0     3     1    19
 -4.2147693314687229E-01 a        70     0     3     1    20
  6.7821670957151692E-02 a        71     0     3     1    21
  3.0308484039204547E-01 a        72     0     3     1    22
  3.4146930129487957E-01 a        73     0     3     1    23
 -2.8724902961296589E-01 a        74     0     3     1    24
  2.3313593284363296E-01 a        75     0     3     1    25
 -4.5357606494696412E-01 a        76     0     4     1     1
 -1.3489057432460452E-01 a        77     0     4     1     2
  2.3354378732328717E-02 a        78     0     4     1     3
  2.7640339239205497E-01 a        79     0     4     1     4
 -9.1334648406625321E-02 a        80     0     4     1     5
